size, dupes, statements
52, 8, 1181
52, 9, 1257
52, 10, 1421
52, 11, 1669
52, 12, 1473
52, 13, 1653
52, 14, 1925
52, 15, 2273
52, 16, 2005
52, 17, 2021
52, 18, 2349
52, 19, 2645
52, 20, 2561
52, 21, 2701
52, 22, 2837
52, 23, 2941
52, 24, 3369
52, 25, 3085
52, 26, 3257
52, 27, 3201
52, 28, 3661
52, 29, 3469
52, 30, 3641
52, 31, 3809
52, 32, 3973
52, 33, 4253
52, 34, 3973
52, 35, 4417
52, 36, 4237
52, 37, 4545
52, 38, 4457
52, 39, 4381
52, 40, 4673
52, 41, 4925
52, 42, 4977
52, 43, 5157
52, 44, 5257
52, 45, 5017
52, 46, 5361
52, 47, 5397
52, 48, 5633
52, 49, 5617
52, 50, 5925
52, 51, 5933
52, 52, 5933
53, 1, 365
53, 2, 621
53, 3, 585
53, 4, 573
53, 5, 761
53, 6, 669
53, 7, 1313
53, 8, 1457
53, 9, 1209
53, 10, 1537
53, 11, 1649
53, 12, 1497
53, 13, 1933
53, 14, 2069
53, 15, 1765
53, 16, 2381
53, 17, 2605
53, 18, 2089
53, 19, 2461
53, 20, 3165
53, 21, 2645
53, 22, 2741
53, 23, 2949
53, 24, 3357
53, 25, 2905
53, 26, 2969
53, 27, 3245
53, 28, 3177
53, 29, 3449
53, 30, 3805
53, 31, 3593
53, 32, 4281
53, 33, 4037
53, 34, 3865
53, 35, 4057
53, 36, 4457
53, 37, 4737
53, 38, 4321
53, 39, 4717
53, 40, 4705
53, 41, 4709
53, 42, 4893
53, 43, 5225
53, 44, 5225
53, 45, 5493
53, 46, 5625
53, 47, 5541
53, 48, 5753
53, 49, 5997
53, 50, 5913
53, 51, 5941
53, 52, 6153
53, 53, 6153
54, 1, 233
54, 2, 369
54, 3, 665
54, 4, 1069
54, 5, 949
54, 6, 849
54, 7, 1001
54, 8, 1409
54, 9, 1189
54, 10, 1489
54, 11, 2005
54, 12, 1777
54, 13, 1865
54, 14, 2041
54, 15, 2553
54, 16, 2301
54, 17, 2477
54, 18, 2401
54, 19, 2521
54, 20, 2801
54, 21, 2597
54, 22, 3089
54, 23, 2597
54, 24, 3105
54, 25, 3253
54, 26, 3173
54, 27, 3237
54, 28, 3433
54, 29, 3777
54, 30, 4021
54, 31, 3729
54, 32, 3765
54, 33, 4065
54, 34, 4013
54, 35, 4505
54, 36, 4433
54, 37, 4401
54, 38, 4777
54, 39, 5093
54, 40, 4781
54, 41, 5041
54, 42, 5245
54, 43, 5669
54, 44, 5449
54, 45, 5629
54, 46, 5801
54, 47, 5869
54, 48, 5597
54, 49, 6065
54, 50, 6157
54, 51, 6189
54, 52, 6189
54, 53, 6377
54, 54, 6377
55, 1, 257
55, 2, 325
55, 3, 857
55, 4, 989
55, 5, 833
55, 6, 821
55, 7, 893
55, 8, 909
55, 9, 1305
55, 10, 1289
55, 11, 1393
55, 12, 1461
55, 13, 1749
55, 14, 1769
55, 15, 1897
55, 16, 1981
55, 17, 2173
55, 18, 2561
55, 19, 2573
55, 20, 2669
55, 21, 2949
55, 22, 2789
55, 23, 3233
55, 24, 2897
55, 25, 3541
55, 26, 3613
55, 27, 3509
55, 28, 3413
55, 29, 3757
55, 30, 4125
55, 31, 3737
55, 32, 4301
55, 33, 4393
55, 34, 4101
55, 35, 4569
55, 36, 4145
55, 37, 4781
55, 38, 4677
55, 39, 4997
55, 40, 4917
55, 41, 5025
55, 42, 5241
55, 43, 5349
55, 44, 5509
55, 45, 5553
55, 46, 5457
55, 47, 5621
55, 48, 5713
55, 49, 6081
55, 50, 6149
55, 51, 6225
55, 52, 6237
55, 53, 6409
55, 54, 6605
55, 55, 6605
56, 1, 253
56, 2, 573
56, 3, 633
56, 4, 665
56, 5, 845
56, 6, 1037
56, 7, 905
56, 8, 1297
56, 9, 1273
56, 10, 1213
56, 11, 1701
56, 12, 1881
56, 13, 1973
56, 14, 2173
56, 15, 1917
56, 16, 2993
56, 17, 2481
56, 18, 2697
56, 19, 2693
56, 20, 2461
56, 21, 2865
56, 22, 3213
56, 23, 3037
56, 24, 3521
56, 25, 3201
56, 26, 3685
56, 27, 3785
56, 28, 3737
56, 29, 3977
56, 30, 3749
56, 31, 4029
56, 32, 4473
56, 33, 4529
56, 34, 4753
56, 35, 4341
56, 36, 4653
56, 37, 4745
56, 38, 5013
56, 39, 5025
56, 40, 5153
56, 41, 5193
56, 42, 5105
56, 43, 5341
56, 44, 5469
56, 45, 5489
56, 46, 5473
56, 47, 5857
56, 48, 5893
56, 49, 6145
56, 50, 6125
56, 51, 6329
56, 52, 6609
56, 53, 6653
56, 54, 6761
56, 55, 6837
56, 56, 6837
57, 1, 241
57, 2, 573
57, 3, 721
57, 4, 909
57, 5, 525
57, 6, 765
57, 7, 1077
57, 8, 1417
57, 9, 1377
57, 10, 1737
57, 11, 1333
57, 12, 1793
57, 13, 1833
57, 14, 1853
57, 15, 2341
57, 16, 2457
57, 17, 2093
